阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
1544,1,平安银行今天不可能涨，庄家压盘。,负,"http://guba.eastmoney.com/news,000001,893153457.html",n233794269947030,2020/12/20 13:56,3,,今天明显大盘诱空下星期有行情
1223,3,最垃圾的银行股没有之一,负,"http://guba.eastmoney.com/news,000001,893058027.html",股友6Nro3c,2020/12/20 10:11,3,,垃圾谈不上，不过已经不是最优秀的一员了-----熊大熊二见底，换半仓到石油了-----看今年一年的走势在银行股里面不差吧
1082,1,关键没有量能说明没有人买我还是先走了吧,负,"http://guba.eastmoney.com/news,000001,893051632.html",股友wWCD1E7260,2020/12/20 10:02,25,,高手这股大盘上涨时它没劲大盘下跌时比哪家银行股跌的都快
1160,2,证劵疯完银行疯，银行疯完散户疯，最后散户疯完被套了,负,"http://guba.eastmoney.com/news,000001,893041435.html",三十年小韭菜,2020/12/20 9:45,2,,银行没涨几个点，跟证券比不了-----银行没涨几个点，跟证券比不了-----银行股也没跌几个点呢，券商猛涨的都是先前跌成狗的票。价值投资选银行，赌选券商、科技……
920,0,垃圾货,负,"http://guba.eastmoney.com/news,000001,893036516.html",股友wWCD1E7260,2020/12/20 9:37,25,,
1159,1,平安太垃圾了,负,"http://guba.eastmoney.com/news,000001,893036284.html",梁芮和,2020/12/20 9:37,2,,不是一般的垃圾
985,0,好了好了，走下坡路了,负,"http://guba.eastmoney.com/news,000001,893036664.html",三十年小韭菜,2020/12/20 9:36,2,,
950,0,尾盘必拉，是出掉的机会，,负,"http://guba.eastmoney.com/news,000001,892927156.html",風雾霾,2020/12/19 14:57,25,,
765,0,出货行情,负,"http://guba.eastmoney.com/news,000001,892901237.html",風雾霾,2020/12/19 14:14,25,,
887,0,有进步，从一分钱玩一天到今天的一毛钱玩一天,负,"http://guba.eastmoney.com/news,000001,892886333.html",别虾扯蛋,2020/12/19 13:46,2,,
1040,2,你干不过宁波银行吗,负,"http://guba.eastmoney.com/news,000001,892877576.html",股友wWCD1E7260,2020/12/19 13:28,25,,苏州银行-----他还真搞不过宁波银行，深市银行股，平安银行只能排第二，拨备率在那呢
980,1,剩下的全部卖了一股不留,负,"http://guba.eastmoney.com/news,000001,892847524.html",股友wWCD1E7260,2020/12/19 11:35,25,,这就对了这股上涨一点卖了准没错摸高一点就快速回落下跌
1703,3,10.70今天就别想过去了 10.67 我卖了空仓了,负,"http://guba.eastmoney.com/news,000001,892805966.html",相信自己能成功,2020/12/19 10:50,35,,你一个人就能决定！狂妄-----限价16.59----------16.65全仓，这个决定是对的
861,0,不经夸啊，又泄了,负,"http://guba.eastmoney.com/news,000001,892791592.html",溜溜呦呦,2020/12/19 9:55,2,,
1134,2,看看你爹中信建投,负,"http://guba.eastmoney.com/news,000001,892542235.html",别虾扯蛋,2020/12/18 22:31,2,,他爹是中国平安-----论银行券商
975,0,去尼玛的全部卖了,负,"http://guba.eastmoney.com/news,000001,892661991.html",股友wWCD1E7260,2020/12/18 14:46,25,,
1068,0,当时没买苏州银行却选了你这名声在外的平安银行，选错,负,"http://guba.eastmoney.com/news,000001,892656237.html",残酷的杀戮,2020/12/18 14:37,25,,
957,0,看看南宁百货[微笑][微笑],负,"http://guba.eastmoney.com/news,000001,892653935.html",股友wWCD1E7260,2020/12/18 14:36,25,,
914,0,跑了一个亿，你以为呢,负,"http://guba.eastmoney.com/news,000001,892624853.html",你就会有钱,2020/12/18 13:47,2,,
1089,1,怎么买了就跌，对不起大家了,负,"http://guba.eastmoney.com/news,000001,892577579.html",風雾霾,2020/12/18 13:04,25,,对不起我也买了
821,0,垃圾错错错错错,负,"http://guba.eastmoney.com/news,000001,892554020.html",股友wWCD1E7260,2020/12/18 10:37,25,,
891,0,招行要突破历史新高了，平安银行怕什么？,负,"http://guba.eastmoney.com/news,000001,892545368.html",高智商研究中心,2020/12/18 10:24,4,,
800,0,看看招商银行,负,"http://guba.eastmoney.com/news,000001,892540342.html",溜溜呦呦,2020/12/18 10:17,2,,
1002,2,国家队砸盘开始！！！快逃命,负,"http://guba.eastmoney.com/news,000001,892528146.html",吉吉与佩奇,2020/12/18 9:56,15,,抛了就涨-----你啥都懂，知道你自己啥时嗝屁？-----
802,0,这单抛出,负,"http://guba.eastmoney.com/news,000001,892517526.html",华诚通讯1,2020/12/18 9:42,2,,
1077,0,节前只退不买,负,"http://guba.eastmoney.com/news,000001,892480290.html",風雾霾,2020/12/17 23:37,25,,
1278,2,今天撤了,负,"http://guba.eastmoney.com/news,000001,892385452.html",时间的玫瑰JC,2020/12/17 15:08,25,,你适合做短线-----你适合做短线-----没办法，被逼的
